sparsity,exact_keys,comp_keys_median,drop_keys_median,rho_comp_median,rho_drop_median,err_hard_median,err_comp_median,err_hard_p90,err_comp_p90,gain_x,k_scale,logit_std,source
0.25,144.0,48.0,0.0,0.24382427334785461,0.0,0.6432950496673584,0.001622773939743638,0.7432457208633423,0.002461682539433241,396.41693115234375,0.02,0.022450901567935944,synthetic
0.5,96.0,96.0,0.0,0.49221086502075195,0.0,1.1040323972702026,0.0016147767892107368,1.2999114990234375,0.0024943265598267317,683.7058715820312,0.02,0.022450901567935944,synthetic
0.7,58.0,134.0,0.0,0.6910170912742615,0.0,1.7132232189178467,0.0014572716318070889,1.9671905040740967,0.0023409526329487562,1175.6375732421875,0.02,0.022450901567935944,synthetic
0.8,38.0,154.0,0.0,0.7965772151947021,0.0,2.208059787750244,0.00138053297996521,2.6349191665649414,0.002160106785595417,1599.4256591796875,0.02,0.022450901567935944,synthetic
0.9,19.0,173.0,0.0,0.8975881338119507,0.0,3.3285984992980957,0.001299564028158784,3.8948357105255127,0.0020640220027416945,2561.3193359375,0.02,0.022450901567935944,synthetic
0.95,10.0,182.0,0.0,0.9457904696464539,0.0,4.775745868682861,0.001286334590986371,5.489416599273682,0.0019884787034243345,3712.677734375,0.02,0.022450901567935944,synthetic
0.25,144.0,48.0,0.0,0.2347530573606491,0.0,0.619769811630249,0.010680345818400383,0.716309130191803,0.01662454754114151,58.02900314331055,0.05,0.05612725764513016,synthetic
0.5,96.0,96.0,0.0,0.4804946482181549,0.0,1.0787057876586914,0.010802937671542168,1.261686086654663,0.016842976212501526,99.8530044555664,0.05,0.05612725764513016,synthetic
0.7,58.0,134.0,0.0,0.6805335879325867,0.0,1.6852099895477295,0.009805032052099705,1.935059905052185,0.016096530482172966,171.8719482421875,0.05,0.05612725764513016,synthetic
0.8,38.0,154.0,0.0,0.7881532311439514,0.0,2.190894365310669,0.009317788295447826,2.603257179260254,0.015034686774015427,235.1302947998047,0.05,0.05612725764513016,synthetic
0.9,19.0,173.0,0.0,0.8922580480575562,0.0,3.301995038986206,0.008858622051775455,3.8405630588531494,0.01415023673325777,372.74365234375,0.05,0.05612725764513016,synthetic
0.95,10.0,182.0,0.0,0.9424755573272705,0.0,4.752757549285889,0.008700321428477764,5.443241119384766,0.013869398273527622,546.2738037109375,0.05,0.05612725764513016,synthetic
0.25,144.0,48.0,0.0,0.22010008990764618,0.0,0.5827502608299255,0.046997323632240295,0.6723667979240417,0.07581786066293716,12.39964771270752,0.1,0.11225451529026031,synthetic
0.5,96.0,96.0,0.0,0.460960328578949,0.0,1.031225562095642,0.04898449406027794,1.2082257270812988,0.07962653040885925,21.052082061767578,0.1,0.11225451529026031,synthetic
0.7,58.0,134.0,0.0,0.6626558303833008,0.0,1.633203148841858,0.045232143253088,1.8874210119247437,0.07758963108062744,36.10713577270508,0.1,0.11225451529026031,synthetic
0.8,38.0,154.0,0.0,0.7736367583274841,0.0,2.151421308517456,0.043526340276002884,2.5567872524261475,0.07244662195444107,49.42803192138672,0.1,0.11225451529026031,synthetic
0.9,19.0,173.0,0.0,0.8829063177108765,0.0,3.2508959770202637,0.041318628937006,3.75990891456604,0.06829937547445297,78.67869567871094,0.1,0.11225451529026031,synthetic
0.95,10.0,182.0,0.0,0.9365962743759155,0.0,4.701168537139893,0.040799256414175034,5.369955062866211,0.06737035512924194,115.22682189941406,0.1,0.11225451529026031,synthetic
0.25,144.0,0.0,48.0,0.0,0.18923747539520264,0.49655285477638245,0.48599910736083984,0.5966230034828186,0.5794387459754944,1.021715521812439,0.2,0.22450903058052063,synthetic
0.5,96.0,0.0,96.0,0.0,0.3985837399959564,0.9205382466316223,0.7841773629188538,1.0928250551223755,1.0221558809280396,1.1738903522491455,0.2,0.22450903058052063,synthetic
0.7,58.0,73.0,61.0,0.3734327554702759,0.2415163367986679,1.5231287479400635,0.6041684150695801,1.7642968893051147,1.5267908573150635,2.52103328704834,0.2,0.22450903058052063,synthetic
0.8,38.0,112.0,41.0,0.5750301480293274,0.15864300727844238,2.0476160049438477,0.4891047477722168,2.3988306522369385,1.4306894540786743,4.18645715713501,0.2,0.22450903058052063,synthetic
0.9,19.0,149.0,24.0,0.7719628810882568,0.08950186520814896,3.1203997135162354,0.33991989493370056,3.6559946537017822,1.1270229816436768,9.179808616638184,0.2,0.22450903058052063,synthetic
0.95,10.0,166.0,16.0,0.8676175475120544,0.05744411423802376,4.572277545928955,0.2982003688812256,5.175929069519043,1.0050686597824097,15.332903861999512,0.2,0.22450903058052063,synthetic
0.25,144.0,0.0,48.0,0.0,0.15470322966575623,0.3849538266658783,0.3849538266658783,0.47617578506469727,0.47617578506469727,1.0,0.35,0.3928907811641693,synthetic
0.5,96.0,0.0,96.0,0.0,0.365020215511322,0.7730668783187866,0.7730668783187866,0.93761146068573,0.93761146068573,1.0,0.35,0.3928907811641693,synthetic
0.7,58.0,0.0,134.0,0.0,0.5667778849601746,1.3214296102523804,1.3121572732925415,1.5845613479614258,1.574163794517517,1.0070664882659912,0.35,0.3928907811641693,synthetic
0.8,38.0,0.0,154.0,0.0,0.682537853717804,1.8450825214385986,1.7377134561538696,2.165853977203369,2.128957748413086,1.0617876052856445,0.35,0.3928907811641693,synthetic
0.9,19.0,13.0,160.0,0.09030228853225708,0.733365535736084,2.8806941509246826,2.152172565460205,3.4096970558166504,3.109462261199951,1.3385051488876343,0.35,0.3928907811641693,synthetic
0.95,10.0,31.0,150.0,0.23483163118362427,0.6619916558265686,4.30141019821167,1.779709815979004,4.900933742523193,4.083463191986084,2.416916608810425,0.35,0.3928907811641693,synthetic
0.25,144.0,0.0,48.0,0.0,0.10338574647903442,0.2335653305053711,0.2335653305053711,0.3192720115184784,0.3192720115184784,1.0,0.6,0.6735270619392395,synthetic
0.5,96.0,0.0,96.0,0.0,0.2759764790534973,0.527199923992157,0.527199923992157,0.6795687675476074,0.6795687675476074,1.0,0.6,0.6735270619392395,synthetic
0.7,58.0,0.0,134.0,0.0,0.4714736342430115,0.987187922000885,0.987187922000885,1.2370158433914185,1.2370158433914185,1.0,0.6,0.6735270619392395,synthetic
0.8,38.0,0.0,154.0,0.0,0.6038724184036255,1.4404364824295044,1.4404364824295044,1.7500611543655396,1.7500611543655396,1.0,0.6,0.6735270619392395,synthetic
0.9,19.0,0.0,173.0,0.0,0.7569055557250977,2.4004557132720947,2.375580310821533,2.8490726947784424,2.8490726947784424,1.0104713439941406,0.6,0.6735270619392395,synthetic
0.95,10.0,0.0,182.0,0.0,0.8364076614379883,3.590575695037842,3.2557971477508545,4.334987640380859,4.01442289352417,1.102825403213501,0.6,0.6735270619392395,synthetic
0.25,144.0,0.0,48.0,0.0,0.04875222593545914,0.08650852739810944,0.08650852739810944,0.14444318413734436,0.14444318413734436,1.0,1.0,1.1225451231002808,synthetic
0.5,96.0,0.0,96.0,0.0,0.16039103269577026,0.25155842304229736,0.25155842304229736,0.38642629981040955,0.38642629981040955,1.0,1.0,1.1225451231002808,synthetic
0.7,58.0,0.0,134.0,0.0,0.32181355357170105,0.5572812557220459,0.5572812557220459,0.7773312926292419,0.7773312926292419,1.0,1.0,1.1225451231002808,synthetic
0.8,38.0,0.0,154.0,0.0,0.4524661898612976,0.8818334937095642,0.8818334937095642,1.155973196029663,1.155973196029663,1.0,1.0,1.1225451231002808,synthetic
0.9,19.0,0.0,173.0,0.0,0.6232824921607971,1.5466303825378418,1.5466303825378418,2.0296554565429688,2.0296554565429688,1.0,1.0,1.1225451231002808,synthetic
0.95,10.0,0.0,182.0,0.0,0.7423135042190552,2.406602144241333,2.377666473388672,3.1759893894195557,3.153042793273926,1.0121697187423706,1.0,1.1225451231002808,synthetic
